"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20130317","261","hapuna2","outside","20130317","2486","1572","19.9922817","-155.8259487","16","55","no notes"
"a20130320","262","hapuna2","outside","20130320","2406","1162","19.9922426","-155.8260798","16","42.1","no notes"
"a20130322","263","hapuna2","outside","20130322","2537","1399","19.99220025","-155.8259989","16","47.9","no notes"
"a20130328","264","nobrake2","Mission","20130328","2242","984","38.85902925","-94.63175395","15","38.4","no notes"
"a20130330","265","r145","Mission","20130330","4454","1927","38.86261225","-94.6269725","15","36.3","no notes"
"a20130403","266","r143","Mission","20130403","2792","1190","38.86365075","-94.6317018","14","36.8","no notes"
"a20130405","267","medium","Mission","20130405","3999","1844","38.86089945","-94.62715715","15","38.9","no notes"
"a20130407","268","short","Mission","20130407","3483","1661","38.8608787","-94.6285108","15","40.6","no notes"
"a20130409","269","big","Mission","20130409","4783","2164","38.86089885","-94.62713265","15","37.8","no notes"
"a20130411","270","nobrake2","Mission","20130411","2248","933","38.85905365","-94.6317144","15","36.3","no notes"
"a20130413","271","church","Mission","20130413","6613","2800","38.8687897","-94.63981615","13","34.7","no notes"
"a20130415","272","flat","Mission","20130415","1910","690","38.85804625","-94.63179125","15","31.9","no notes"
"a20130417","273","medium","Mission","20130417","4000","1594","38.8608892","-94.62709025","15","33.7","no notes"
"a20130420","274","midnight5k","Timed5K","20130420","4860","2038","38.9202682","-94.6308395","14","35","no notes"
"a20130422","275","r143","Mission","20130422","2846","1168","38.86374855","-94.6316745","14","35.4","no notes"
"a20130425","276","r151","Mission","20130425","1296","561","38.85681205","-94.63174425","16","39.1","no notes"
"a20130427","277","r150","Mission","20130427","7830","3510","38.86779255","-94.63976845","13","36.4","no notes"
"a20130430","278","short","Mission","20130430","3526","1631","38.86084535","-94.62854765","15","39.4","no notes"
"a20130504","279","flat","Mission","20130504","1788","760","38.857922","-94.6317396","15","37.7","no notes"
"a20130510","280","r151","Mission","20130510","1275","529","38.8568078","-94.6317615","16","37.5","no notes"
"a20130520","281","nobrake2","Mission","20130520","2333","1081","38.85897685","-94.6318224","15","40.4","no notes"
"a20130522","282","r151","Mission","20130522","1254","519","38.8568035","-94.63179555","16","37.5","no notes"
"a20130524","283","flat","Mission","20130524","1794","831","38.8578693","-94.6317843","15","41","no notes"
"a20130527","284","r143","Mission","20130527","2794","1223","38.8636478","-94.6317617","14","37.8","no notes"
"a20130529","285","medium","Mission","20130529","4026","1891","38.86088725","-94.62718455","15","39.7","no notes"
"a20130531","286","nobrake1","Mission","20130531","1488","641","38.8606289","-94.6317455","15","38.6","no notes"
"a20130604","287","short","Mission","20130604","3575","1663","38.8609428","-94.6285211","15","39.6","no notes"
"a20130608","288","r143","Mission","20130608","2793","1211","38.86363895","-94.6315948","14","37.4","no notes"
"a20130611","289","r151","Mission","20130611","1278","500","38.8569222","-94.6316953","16","35.4","no notes"
"a20130613","290","short","Mission","20130613","3641","1593","38.86090525","-94.62849775","15","37.2","no notes"
"a20130615","291","r145","Mission","20130615","4457","2045","38.86257695","-94.62714725","15","38.5","no notes"
"a20130622","292","nobrake1","Mission","20130622","1519","636","38.86063625","-94.6317832","16","37.5","no notes"
"a20130627","293","r151","Mission","20130627","1277","506","38.85679145","-94.6315768","16","35.8","no notes"
"a20130629","294","medium","Mission","20130629","3942","1839","38.8608525","-94.6271942","15","39.4","no notes"
"a20130704","295","r143","Mission","20130704","2878","1280","38.86364755","-94.6316542","14","38.3","no notes"
"a20130706","296","steeple2","Mission","20130706","5486","2574","38.8637664","-94.6270979","14","38.9","no notes"
"a20130708","298","short","Mission","20130708","3641","1720","38.86081215","-94.62842565","15","40.1","no notes"
"a20130710","299","nobrake2","Mission","20130710","2294","1050","38.8590098","-94.6317839","15","40","no notes"
"a20130713","300","double","Mission","20130713","5536","2646","38.86087625","-94.62712155","15","39.6","no notes"
"a20130723","301","flat","Mission","20130723","1824","697","38.85791605","-94.63169525","15","33.8","no notes"
"a20130726","302","r143","Mission","20130726","2805","1325","38.8636033","-94.6316627","14","40.8","no notes"
"a20130728","303","nobrake1","Mission","20130728","1454","629","38.8607113","-94.63179935","16","38.8","no notes"
"a20130730","304","r151","Mission","20130730","1244","573","38.85686395","-94.631792","16","41.7","no notes"
"a20130801","305","flat","Mission","20130801","1756","747","38.8579787","-94.6317857","15","37.7","no notes"
"a20130804","306","Montreal1","outside","20130804","1459","647","45.5081907","-73.56672565","16","39.8","no notes"
"a20130808","307","Montreal1","outside","20130808","1369","594","45.50807155","-73.5666883","16","39.1","no notes"
"a20130811","308","r151","Mission","20130811","1265","529","38.8568431","-94.6317035","16","37.8","no notes"
"a20130814","309","flat","Mission","20130814","1788","754","38.85788415","-94.6317187","15","37.4","no notes"
"a20130817","310","short","Mission","20130817","3495","1566","38.86088565","-94.6285687","15","38.2","no notes"
"a20130819","311","nobrake1","Mission","20130819","1459","631","38.8606844","-94.6316442","16","38.8","no notes"
"a20130822","312","flat","Mission","20130822","1840","783","38.8577786","-94.6314973","15","37.7","no notes"
"a20130824","313","steeple2","Mission","20130824","5496","2575","38.86387465","-94.62711805","14","38.8","no notes"
"a20130826","314","r151","Mission","20130826","1243","568","38.8567758","-94.63173535","16","41.4","no notes"
"a20130829","315","flat","Mission","20130829","1779","800","38.85790815","-94.6317073","15","39.9","no notes"
"a20130831","316","dearborn","Mission","20130831","4045","1872","38.86459045","-94.65217365","15","39.1","no notes"
"a20130902","317","Leawood5K","Timed5K","20130902","5092","2165","38.92724835","-94.62352325","14","35.4","no notes"
"a20130904","318","Juniper","Nall","20130904","2322","1081","38.86516285","-94.6432849","15","40.6","no notes"
"a20130907","319","secondlake","Nall","20130907","3339","1579","38.86296535","-94.6516099","15","40.4","no notes"
"a20130910","320","secondlake","Nall","20130910","3278","1586","38.862854","-94.6516427","15","41.4","no notes"
"a20130912","321","Juniper","Nall","20130912","2351","1045","38.865138","-94.6434282","15","38.8","no notes"
"a20130916","322","secondlake","Nall","20130916","3257","1452","38.86288605","-94.6516658","15","38.1","no notes"
"a20130918","323","secondlake","Nall","20130918","3309","1656","38.8628575","-94.65165925","15","42.8","no notes"
"a20130922","325","greenridge","Nall","20130922","2766","1469","38.6413334","-93.37656055","15","45.9","no notes"
"a20130924","326","metcalf","Nall","20130924","5792","2697","38.8630647","-94.65674515","14","38.5","no notes"
"a20130928","327","dearborn","Nall","20130928","4002","1858","38.86466955","-94.6521208","15","39.2","no notes"
"a20131001","328","r147","Nall","20131001","1017","428","38.8624887","-94.64730365","16","38.6","no notes"
"a20131004","329","dearborn","Nall","20131004","4060","1896","38.86456605","-94.6522216","14","39.4","no notes"
"a20131008","330","short","Mission","20131008","3478","1639","38.860867","-94.6285058","15","40.1","no notes"
"a20131010","331","uminn","outside","20131010","1919","818","44.9673121","-93.22880675","14","37.6","no notes"
"a20131012","332","medium","Mission","20131012","3897","1769","38.8608079","-94.62707555","15","38.4","no notes"
"a20131016","333","flat","Mission","20131016","1764","751","38.85793305","-94.6317675","15","37.8","no notes"
"a20131018","334","nobrake2","Mission","20131018","2263","1010","38.85902575","-94.6315807","15","39","no notes"
"a20131020","335","r143","Mission","20131020","2791","1210","38.8636106","-94.63160095","14","37.4","no notes"
"a20131022","336","big","Mission","20131022","4768","2278","38.8608749","-94.6269903","15","39.9","no notes"
"a20131027","337","manhattan","outside","20131027","5400","2715","40.7611662","-73.978303","14","41.7","no notes"
"a20131029","338","short","Mission","20131029","3465","1559","38.86087265","-94.62848585","15","38.3","no notes"
"a20131102","339","r138","Mission","20131102","4915","2160","38.86824595","-94.6316379","14","36.7","no notes"
"a20131107","340","r151","Mission","20131107","1241","486","38.8567967","-94.6317363","16","35.5","no notes"
"a20131110","341","flat","Mission","20131110","1749","722","38.85793355","-94.63179245","15","36.6","no notes"
"a20131124","342","flat","Mission","20131124","1786","791","38.8579424","-94.6317714","15","39.3","no notes"
"a20131126","343","nobrake2","Mission","20131126","2295","1027","38.85911255","-94.63177575","15","39.1","no notes"
"a20131128","344","Sprint5K","Timed5K","20131128","5084","2340","38.91968495","-94.65722285","14","38.3","no notes"
"a20131130","345","r143","Mission","20131130","2806","1233","38.86362195","-94.6316754","14","37.9","no notes"
